year,Country Type,Country/City,"Average National Exam Score: Junior Secondary Level (out of 100, available only in district level for 2009)","Average National Exam Score: Primary Level (out of 100, available only in district level for 2009)","Average National Exam Score: Senior Secondary Level (out of 100, available only in district level for 2009)",Education function expenditure (in IDR),Human Development Index,Monthly Per Capita Household Education Expenditure (in IDR),Net Enrollment Ratio: Junior Secondary (in %),Net Enrollment Ratio: Primary (in %),Net Enrollment Ratio: Senior Secondary (in %),Number of schools at junior secondary level,Number of schools at primary level,Number of schools at Senior Secondary level,"Number of Student: Junior Secondary Level (in number of people, 2009 data only)","Number of Student: Primary Level (in number of people, 2009 data only)","Number of Student: Senior Secondary Level (in number of people, 2009 data only)","Number of Teacher: Junior Secondary Level (in number of people, 2009 data only)","Number of Teacher: Primary Level (in number of people, 2009 data only)","Number of Teacher: Senior Secondary Level (in number of people, 2009 data only)",Total Specific Allocation Grant for Education (in IDR Billion)
1976,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Kab,Aceh Barat Daya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
