year,Country Type,Country/City,Agriculture function expenditure (in IDR),Capital expenditure (in IDR),Economy function expenditure (in IDR),Education function expenditure (in IDR),Environment function expenditure (in IDR),General administration function expenditure (in IDR),Goods and services expenditure (in IDR),Health function expenditure (in IDR),Household per capita expenditure (in IDR),Housing and public facilities function expenditure (in IDR),Others expenditure (in IDR),Personnel expenditure (in IDR),"Public, law and order function expenditure (in IDR)",Religious function expenditure (in IDR),Social protection function expenditure (in IDR),Total Expenditure (in IDR),Total GDP based on expenditure (in IDR Million),Tourism and culture function expenditure (in IDR)
2003,Kab,Aceh Barat Daya,3121100697.0,22099919401.0,1972267468.0,40182126147.0,1318003170.0,39478874066.0,18635363494.0,3950034226.0,0.0,0.0,11694561561.0,47690461643.0,0.0,0.0,1266350600.0,100120306099.0,0.0,716387270.0
2004,Kab,Aceh Barat Daya,5224109648.0,26010560515.0,2476808633.0,42658830717.0,1835443858.0,53628009268.0,29781789205.0,7075179833.0,164727.0,0.0,17159725750.0,55738095537.0,0.0,0.0,1542925819.0,128690171007.0,0.0,1240449607.0
2005,Kab,Aceh Barat Daya,11313686423.0,32612718322.0,2662336042.0,45359654599.0,1632594943.0,59548152336.0,39217736546.0,7911680901.0,0.0,0.0,19334804549.0,56600289893.0,0.0,0.0,5640361259.0,147765549310.0,0.0,1220179904.0
2006,Kab,Aceh Barat Daya,0.0,94577224672.0,0.0,0.0,0.0,272112936775.0,76154407083.0,0.0,248217.0,0.0,24110782741.0,77270522279.0,0.0,0.0,0.0,272112936775.0,0.0,0.0
2008,Kab,Aceh Barat Daya,30143754136.14,80110780058.0,4133009702.93,95148215405.43,2188159036.16,118162678950.55,93049607523.0,31353070688.41,0.0,0.0,8064331522.0,158783521361.0,2413320362.39,0.0,2680859308.23,398790226065.0,0.0,0.0
2010,Kab,Aceh Barat Daya,18828350565.0,70133350623.0,6920317847.0,122754476843.0,2413634171.0,98923143800.0,44347144313.0,34445015806.0,356720.0,0.0,22088121218.0,190846175063.0,3034795704.0,0.0,2153790868.0,327414791217.0,0.0,0.0
2011,Kab,Aceh Barat Daya,24569301732.0,86407424410.0,11784368882.0,136254826188.0,2489677691.0,107447247531.0,57851328161.0,34913022772.0,428411.0,0.0,32252557274.0,207575997961.0,5549858352.0,0.0,2142086958.0,384087307806.0,0.0,0.0
2012,Kab,Aceh Barat Daya,47812412504.0,130694000000.0,13456002803.0,150765522074.0,3359627398.0,146514701048.0,91089921016.0,67657837661.0,434783.0,0.0,32193078984.0,265978000000.0,6648817037.0,0.0,3371781750.0,519955000000.0,0.0,0.0
2001,Kab,Aceh Barat,11004500440.0,49059825938.0,8283100015.0,14835000442.0,2009410550.0,0.0,35178298825.0,5121000697.0,0.0,5732000759.0,22213997901.0,109867877592.0,1400000157.0,3001000915.0,0.0,216320000257.0,0.0,285000550.0
2003,Kab,Aceh Barat,5402838545.0,39517340174.0,6871954062.0,51521807849.0,1941993865.0,0.0,16084260743.0,12128659559.0,189390.0,0.0,19338809036.0,85371024331.0,0.0,0.0,0.0,160311434284.0,0.0,0.0
2006,Kab,Aceh Barat,11274427716.0,81568263512.0,14870823900.0,78992953877.0,3313009862.0,0.0,48900436178.0,25102208136.0,324853.0,0.0,175850000.0,162908547835.0,0.0,0.0,4622923726.0,293553097525.0,0.0,0.0
2008,Kab,Aceh Barat,25968576188.14,93584417000.0,9581562698.47,134671841688.28,7146088184.52,142411942644.43,60511660336.0,49816251827.39,0.0,0.0,41476582775.0,241059232210.0,0.0,0.0,5156912713.0,496898196167.0,0.0,0.0
2010,Kab,Aceh Barat,21718679525.0,86820639885.0,5931800955.0,174086215667.0,5773668579.0,132706991277.0,56265372852.0,57367188303.0,622184.0,0.0,44388315103.0,297309525392.0,6121291699.0,0.0,7010719473.0,484783853232.0,0.0,1776414029.0
2011,Kab,Aceh Barat,25444929802.0,71513741975.0,5414619575.0,207233491527.0,6406275867.0,128058335247.0,56518055448.0,54509990515.0,540932.0,2645770838.0,40917037293.0,332235487143.0,6214077313.0,0.0,12368744474.0,501184321859.0,0.0,45000000.0
2012,Kab,Aceh Barat,30896978366.0,54587910547.0,7815013892.0,234386775987.0,7495103867.0,153371006940.0,60897349629.0,68106988150.0,638680.0,2373804391.0,49252328987.0,398959000000.0,7531815362.0,0.0,13141827406.0,563696589163.0,0.0,104578480.0
2001,Kab,Aceh Besar,4659866770.0,65314917862.0,7538346944.0,8363671660.0,396600000.0,0.0,24996200458.0,2997500483.0,0.0,28843334431.0,8152656291.0,111186626660.0,163685000.0,2028082000.0,0.0,209650401270.0,0.0,419800000.0
2004,Kab,Aceh Besar,14340110101.0,43008777887.0,4219122835.0,120950039667.0,342122958.0,0.0,39778856645.0,18796736596.0,175002.0,0.0,24055969085.0,160845186037.0,0.0,0.0,808138051.0,267688789654.0,0.0,978622182.0
2005,Kab,Aceh Besar,14638649801.0,19897871383.0,3918394621.0,125364712082.0,386285948.0,0.0,40617583192.0,24954348279.0,0.0,0.0,30811942344.0,176711679632.0,0.0,0.0,2310387253.0,268039076551.0,0.0,1345766137.0
2006,Kab,Aceh Besar,40277258347.0,76799128707.0,10634136472.0,157349006926.0,1357728669.0,0.0,101533599431.0,33196953840.0,335333.0,0.0,36539191050.0,217304444136.0,0.0,0.0,5002066989.0,432176363324.0,0.0,2057664922.0
2007,Kab,Aceh Besar,39812999039.0,115596468421.0,12650571539.0,182583270683.0,2118049776.0,143858209728.0,58579472545.0,55104561702.0,333557.0,0.0,42552235100.0,280751912628.0,2716927164.0,0.0,3424568831.0,497480088694.0,0.0,3570928030.0
2008,Kab,Aceh Besar,38113936882.0,98085845061.0,10751802946.05,198322225542.45,2967767310.25,166490999300.73,72912118974.0,65862194050.51,0.0,0.0,62131135000.0,311463269863.0,2764300275.39,0.0,3701750081.19,610563757368.0,0.0,3556192116.68
